Creditscore,Creditscoreindicator,Likelihoodoffailure,CreditlimitGBPGBP,Previouscreditscore,SMEindicator,ReturnonTotalAssets2020,ReturnonTotalAssets2019,ReturnonShareholdersFunds2020,ReturnonShareholdersFunds2019,ReturnonCapitalEmployed2020,ReturnonCapitalEmployed2019
95,Secure,0.9,5471000,95,No,,3.056775408,,6.578162795,,4.336218213
92,Secure,0.9,639608,95,No,,4.615423498,,18.71099699,,18.71099699
99,Secure,0.9,1601000,99,No,,13.81178064,,14.96876455,,14.92034167
28,Caution,11.2,183241,28,No,,12.07349081,,20.70173142,,17.78158868
89,Secure,0.9,244017,86,No,-0.882683357,-5.205873884,-6.666666667,-29.81038747,-2.647503782,-19.8943662
38,Caution,4.2,500,95,No,,5.166246915,,24.52090992,,12.60161869
95,Secure,0.9,4549000,99,No,10.97866113,12.5813415,15.61104958,17.51464289,13.81403085,17.51464289
95,Secure,0.9,377397,95,No,,1.808547492,,7.615628028,,6.359915622
99,Secure,0.9,668529,99,No,,9.683626534,,19.89505424,,15.48347665
89,Secure,0.9,609218,92,No,,4.399994452,,20.20684102,,16.70895335
95,Secure,0.9,7860000,92,No,,12.4414511,,29.60765604,,23.19716923
85,Secure,0.9,76720,85,No,,3.182773981,,22.266995,,22.266995
86,Secure,0.9,240919,89,No,,1.716527965,,4.430934259,,3.542810264
95,Secure,0.9,8268000,92,No,3.860226515,3.248336314,10.03196579,8.465598933,3.938231304,3.304903551
99,Secure,0.9,1170000,99,No,3.506892602,3.932384147,8.755142085,9.921784119,8.806132531,9.79360409
99,Secure,0.9,478984,95,No,4.604221084,5.662668319,16.854597,23.27831569,15.4644634,21.01415187
95,Secure,0.9,1652000,92,No,,8.622574142,,14.76152855,,11.16159155
95,Secure,0.9,1861000,99,No,,16.29508134,,24.05879537,,21.91218712
27,Caution,11.2,500,27,No,,4.127994357,,39.35274785,,38.42926824
97,Secure,0.9,1687000,92,No,,8.352366504,,11.13160175,,10.70261263
92,Secure,0.9,933052,92,No,,-2.121181873,,-17.28813559,,-8.132933597
89,Secure,0.9,1290000,77,No,,-1.434064032,,-16.06778277,,-4.816401469
89,Secure,0.9,83165,95,No,,0.693267288,,2.177097839,,2.085795034
99,Secure,0.9,1921000,99,No,,23.90943288,,32.02597204,,31.86304257
29,Caution,11.2,500,81,No,,-0.549308365,,-1.343536926,,-1.278786385
89,Secure,0.9,940451,92,No,,8.12983919,,13.37798105,,10.26540908
99,Secure,0.9,3409000,99,No,,10.41944555,,11.64308374,,11.57755591
99,Secure,0.9,657976,99,No,,6.188970499,,12.15348281,,10.18026095
36,Caution,11.2,109252,99,No,,1.990633925,,5.411396928,,5.223673287
29,Caution,11.2,500,77,No,,-1.860599616,,,,7.34212205
34,Caution,11.2,500,77,No,,3.517285937,,,,3.573327537
29,Caution,11.2,500,68,No,,-110.8039116,,,,346.4447542
89,Secure,0.9,207895,95,No,,2.952157244,,9.949126497,,9.776037302
92,Secure,0.9,333229,95,No,,3.640334846,,11.24353634,,9.539636034
25,Caution,11.2,500,90,No,,-5.086231455,,,,-10.10404423
95,Secure,0.9,2570000,99,No,,13.19099037,,16.34749628,,16.29386975
92,Secure,0.9,3261000,95,No,9.233136045,7.382474312,11.36574462,9.501247827,11.23920854,9.501247827
97,Secure,0.9,7742000,89,No,,13.72437952,,54.96716418,,54.96716418
88,Secure,0.9,81929,92,No,,1.063153221,,14.81188808,,14.31407208
99,Secure,0.9,1144000,99,No,,10.09063784,,28.01237771,,12.94637698
86,Secure,0.9,233028,81,No,,-7.68,,,,-9.447513812
99,Secure,0.9,2039000,99,No,,27.1354514,,39.14784012,,38.10717738
93,Secure,0.9,1942000,30,No,,25.24590191,,93.93268531,,93.93268531
95,Secure,0.9,1186000,92,No,,14.30976867,,17.48101266,,17.48101266
99,Secure,0.9,425803,97,No,,5.362749543,,38.72514329,,33.17709058
89,Secure,0.9,889745,92,No,4.138173696,3.941791885,12.49076468,13.1280229,6.272172885,5.928105012
29,Caution,11.2,500,95,No,,-8.1385953,,,,-30.75607671
64,Stable,2.2,514410,86,No,,8.062801932,,11.58545051,,11.31065329
99,Secure,0.9,2257000,99,No,19.59829027,16.43154728,24.20849527,19.60166397,23.81209899,19.27363138
81,Secure,2.2,500,86,No,,-10.70220928,,,,-18.47182684
90,Secure,0.9,2615000,92,No,,9.279011554,,32.09776489,,15.36027761
36,Caution,11.2,372025,95,No,,9.552792584,,20.69712413,,12.92240253
89,Secure,0.9,484891,86,No,,0.58775093,,1.126530612,,0.947628639
99,Secure,0.9,1889000,99,No,,8.844866204,,11.34377414,,11.29548726
89,Secure,0.9,1293000,92,No,19.16461628,5.600235289,68.24423831,13.16824101,93.87817721,12.83869657
95,Secure,0.9,1243000,95,No,15.96945349,2.155088594,70.924524,25.62316499,20.93010557,2.696375478
99,Secure,0.9,534060,92,No,,4.055013864,,10.47417183,,10.47417183
99,Secure,0.9,1979000,99,No,,16.38097229,,26.59500263,,23.41644396
33,Caution,11.2,273834,89,No,,3.529794552,,176.2968212,,7.354076934
89,Secure,0.9,846665,95,No,1.801103312,4.247086408,4.762795847,11.93809317,3.205526753,8.259735723
95,Secure,0.9,1313000,95,No,,18.40462579,,35.86489675,,35.6221506
97,Secure,0.9,1884000,86,No,,4.992973445,,7.316592078,,6.69697695
99,Secure,0.9,1426000,89,No,,5.964801358,,8.595111364,,7.897147976
99,Secure,0.9,1511000,99,No,10.23919434,18.40855561,17.12813621,31.34351711,16.67358651,30.48943105
26,Caution,11.2,500,29,No,-14.35941531,-61.9206728,-92.92018419,-271.7135448,-92.92018419,-271.7135448
25,Caution,11.2,500,29,No,-14.91913986,-61.93538162,-108.043758,-282.0684677,-108.043758,-282.0684677
86,Secure,0.9,1344000,89,No,,4.395414716,,11.2993318,,6.024968337
81,Secure,2.2,657181,55,No,,-6.216676255,,,,-7.48169191
97,Secure,0.9,1313000,97,No,,0.907230481,,1.988619743,,1.96860998
36,Caution,11.2,157302,95,No,,3.930608862,,14.28404339,,12.44649409
92,Secure,0.9,927830,95,No,,7.339738759,,41.41382292,,9.321291817
92,Secure,0.9,4452000,95,No,8.94265854,9.487702792,15.01951476,17.40377416,10.81021142,11.65482544
97,Secure,0.9,1541000,92,No,,63.03359297,,,,125.014511
89,Secure,0.9,797932,85,No,5.418718125,7.87406939,147.7908475,132.1405274,147.7908475,132.1405274
99,Secure,0.9,1031000,97,No,,5.92196797,,16.2758528,,16.2088149
95,Secure,0.9,825893,99,No,17.19177989,16.19404415,33.39498563,30.78291072,33.39498563,30.78291072
92,Secure,0.9,801420,92,No,0.72626162,4.200191924,1.710487733,11.32338309,1.144314392,6.92045731
92,Secure,0.9,3989000,99,No,7.535152765,3.767901427,14.21655134,5.776618827,9.291085262,5.17641183
64,Stable,2.2,177178,92,No,,0.951525428,,28.87738324,,21.7938408
89,Secure,0.9,478251,37,No,,17.74653882,,51.02164852,,50.68382955
95,Secure,0.9,1171000,95,No,,4.463994787,,7.982229343,,7.231459488
89,Secure,0.9,990765,92,No,,17.12868657,,39.46133442,,39.46133442
86,Secure,0.9,544574,81,No,4.57717735,2.565590899,40.11083123,23.72699387,15.09899113,9.796099291
95,Secure,0.9,850167,86,No,,17.83056161,,60.21547117,,58.30944084
99,Secure,0.9,4724000,99,No,4.172337258,121.3912476,15.55487452,349.799509,7.133041849,265.3928538
97,Secure,0.9,2941000,97,No,7.87085529,12.47801814,14.63997565,24.57924032,11.54078321,24.57924032
99,Secure,0.9,2713000,99,No,,14.82949571,,19.65590791,,19.5681364
99,Secure,0.9,2550000,99,No,,19.45377727,,75.6858345,,24.390288
89,Secure,0.9,182226,92,No,,-1.94998125,,-9.378468368,,-7.885221043
92,Secure,0.9,650506,92,No,,2.186215983,,5.907344141,,4.241638153
88,Secure,0.9,3331000,85,No,2.540378114,6.596601636,5.342988808,13.35116546,3.092186476,8.27256369
